Timestamp,Course,Section,Instructor,Total_Seats,Open_Seats,Waitlist
2026-03-29 00:00:59,AAAS100,0101,Shane Walsh,3,3,0
2026-03-29 00:00:59,AAAS100,0201,Shane Walsh,3,3,0
2026-03-29 00:00:59,AAAS100,0301,George Kintiba,7,7,0
2026-03-29 00:00:59,AAAS100,0401,Jason Nichols,3,2,0
2026-03-29 00:00:59,AAAS100,0501,Jason Nichols,3,2,0
2026-03-29 00:00:59,AAAS101,0101,Chinyere Osuji,4,4,0
2026-03-29 00:00:59,AAAS187,0101,Robert Choflet,3,3,0
2026-03-29 00:00:59,AAAS200,0101,George Kintiba,40,40,0
2026-03-29 00:00:59,AAAS202,0101,Robert Choflet,35,34,0
2026-03-29 00:00:59,AAAS202,0201,Robert Choflet,35,34,0
2026-03-29 00:00:59,AAAS202,0301,Angelica Dunbar,35,34,0
2026-03-29 00:00:59,AAAS202,0401,Ashley Everson,35,34,0
2026-03-29 00:00:59,AAAS210,0101,Angelica Dunbar,20,20,0
2026-03-29 00:00:59,AAAS211,0101,Shane Walsh,3,3,0
2026-03-29 00:00:59,AAAS230,0101,Ashley Newby,3,0,0
2026-03-29 00:00:59,AAAS230,0201,Sangeetha Madhavan,3,3,0
2026-03-29 00:00:59,AAAS234,0201,Instructor: TBA,3,2,0
2026-03-29 00:00:59,AAAS254,0101,Christopher Bonner,40,39,0
2026-03-29 00:00:59,AAAS263,0101,Instructor: TBA,29,29,0
2026-03-29 00:00:59,AAAS301,0101,Cecily Jackson,25,25,0
2026-03-29 00:00:59,AAAS310,0101,George Kintiba,25,24,0
2026-03-29 00:00:59,AAAS320,0101,Cecily Jackson,25,24,0
2026-03-29 00:00:59,AAAS361,0101,Michelle Rowley,35,33,0
2026-03-29 00:00:59,AAAS386,0101,Marshal Washington,10,10,0
2026-03-29 00:00:59,AAAS397,0101,John Drabinski,2,2,0
2026-03-29 00:00:59,AAAS397,0201,Angelica Dunbar,2,2,0
2026-03-29 00:00:59,AAAS397,0301,Sharon Harley,2,2,0
2026-03-29 00:00:59,AAAS397,0401,Cecily Jackson,2,2,0
2026-03-29 00:00:59,AAAS397,0501,Sangeetha Madhavan,2,2,0
