Timestamp,Course,Section,Instructor,Total_Seats,Open_Seats,Waitlist,Fetch_Time
2026-07-28 23:43:21,HIST106,0101,Marsha Rozenblit,40,27,0,2026-07-28 23:59:35
2026-07-28 23:43:21,HIST110,0101,Christopher Halsted,23,12,0,2026-07-28 23:59:35
2026-07-28 23:43:21,HIST110,0102,Christopher Halsted,23,0,0,2026-07-28 23:59:35
2026-07-28 23:43:21,HIST110,0103,Christopher Halsted,23,12,0,2026-07-28 23:59:35
2026-07-28 23:43:21,HIST111,0101,Janna Bianchini,23,6,0,2026-07-28 23:59:36
2026-07-28 23:43:21,HIST111,0102,Janna Bianchini,23,0,0,2026-07-28 23:59:36
2026-07-28 23:43:21,HIST111,0103,Janna Bianchini,23,0,0,2026-07-28 23:59:36
2026-07-28 23:43:21,HIST111,0104,Janna Bianchini,23,0,0,2026-07-28 23:59:36
2026-07-28 23:43:21,HIST111,0105,Janna Bianchini,23,0,0,2026-07-28 23:59:36
2026-07-28 23:43:21,HIST111,0106,Janna Bianchini,23,0,0,2026-07-28 23:59:36
2026-07-28 23:43:21,HIST111,FC01,Christopher Halsted,25,0,0,2026-07-28 23:59:36
2026-07-28 23:43:21,HIST113,0101,Caroline Ritter,40,26,0,2026-07-28 23:59:36
2026-07-28 23:43:21,HIST120,0101,Antoine Borrut,40,0,0,2026-07-28 23:59:36
2026-07-28 23:43:21,HIST122,0101,Paul Landau,40,9,0,2026-07-28 23:59:37
2026-07-28 23:43:21,HIST134,0101,Michael Ross,20,0,0,2026-07-28 23:59:38
2026-07-28 23:43:21,HIST134,0102,Michael Ross,20,0,0,2026-07-28 23:59:38
2026-07-28 23:43:21,HIST134,0103,Michael Ross,20,0,0,2026-07-28 23:59:38
2026-07-28 23:43:21,HIST134,0104,Michael Ross,20,0,0,2026-07-28 23:59:38
2026-07-28 23:43:21,HIST134,0105,Michael Ross,20,0,0,2026-07-28 23:59:38
2026-07-28 23:43:21,HIST134,0106,Michael Ross,20,0,0,2026-07-28 23:59:38
2026-07-28 23:43:21,HIST134S,0201,Michael Ross,27,11,0,2026-07-28 23:59:39
2026-07-28 23:43:21,HIST135,0101,Bernard Cooperman,20,4,0,2026-07-28 23:59:39
2026-07-28 23:43:21,HIST135,0102,Bernard Cooperman,20,1,0,2026-07-28 23:59:39
2026-07-28 23:43:21,HIST135,0103,Bernard Cooperman,20,1,0,2026-07-28 23:59:39
2026-07-28 23:43:21,HIST143,0101,Alejandro Caneque,40,12,0,2026-07-28 23:59:39
2026-07-28 23:43:21,HIST200,0101,Richard Bell,20,1,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST200,0102,Richard Bell,20,11,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST200,0103,Richard Bell,20,11,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST200,0104,Richard Bell,20,14,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST200,0105,Richard Bell,20,12,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST200,0106,Richard Bell,20,17,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST200,FC01,Howard Smead,20,0,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0101,Howard Smead,20,3,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0102,Howard Smead,20,2,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0103,Howard Smead,20,0,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0104,Howard Smead,20,8,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0105,Howard Smead,20,1,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0106,Howard Smead,20,0,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0107,Howard Smead,20,14,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0108,Howard Smead,20,10,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0109,Howard Smead,20,1,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0201,Robert Chiles,20,0,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0202,Robert Chiles,20,1,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0203,Robert Chiles,20,0,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0204,Robert Chiles,20,0,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0205,Robert Chiles,20,0,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0206,Robert Chiles,20,0,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0207,Robert Chiles,20,17,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0208,Robert Chiles,20,14,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,0209,Robert Chiles,20,12,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST201,FC01,Robert Chiles,25,1,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST205,0101,Jayson Porter,40,0,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST208R,0101,Anna Wenzel,12,0,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST208R,0201,Anna Wenzel,12,1,0,2026-07-28 23:59:40
2026-07-28 23:43:21,HIST208T,0101,Angelina Lincoln,12,0,0,2026-07-28 23:59:41
2026-07-28 23:43:21,HIST208T,0201,Angelina Lincoln,12,0,1,2026-07-28 23:59:41
2026-07-28 23:43:21,HIST211,0101,Katarina Keane,23,0,0,2026-07-28 23:59:41
2026-07-28 23:43:21,HIST211,0102,Katarina Keane,23,0,0,2026-07-28 23:59:41
2026-07-28 23:43:21,HIST211,0103,Katarina Keane,23,0,0,2026-07-28 23:59:41
2026-07-28 23:43:21,HIST215,0101,Sabrina Baron,40,0,7,2026-07-28 23:59:41
2026-07-28 23:43:21,HIST219I,0101,Instructor: TBA,25,0,0,2026-07-28 23:59:42
2026-07-28 23:43:21,HIST224,0101,Patrick Chung,40,12,0,2026-07-28 23:59:42
2026-07-28 23:43:21,HIST226,0101,Robert Chiles,30,0,10,2026-07-28 23:59:42
2026-07-28 23:43:21,HIST234,0101,Sabrina Baron,40,0,1,2026-07-28 23:59:42
2026-07-28 23:43:21,HIST236,0101,Julie Taddeo,40,15,0,2026-07-28 23:59:43
2026-07-28 23:43:21,HIST237,0101,Mikhail Dolbilov,40,35,0,2026-07-28 23:59:43
2026-07-28 23:43:21,HIST245,0101,Shay Hazkani,40,34,0,2026-07-28 23:59:43
2026-07-28 23:43:21,HIST246,0101,Shay Hazkani,35,8,0,2026-07-28 23:59:43
2026-07-28 23:43:21,HIST250,0101,David Sartorius,40,17,0,2026-07-28 23:59:44
2026-07-28 23:43:21,HIST254,0101,Christopher Bonner,40,16,0,2026-07-28 23:59:44
2026-07-28 23:43:21,HIST261,0101,Zachary Dorner,55,0,1,2026-07-28 23:59:44
2026-07-28 23:43:21,HIST266,0101,Howard Smead,30,0,1,2026-07-28 23:59:45
2026-07-28 23:43:21,HIST284,0101,Ting Zhang,23,1,0,2026-07-28 23:59:45
2026-07-28 23:43:21,HIST284,0102,Ting Zhang,23,6,0,2026-07-28 23:59:45
2026-07-28 23:43:21,HIST284,0103,Ting Zhang,23,11,0,2026-07-28 23:59:45
2026-07-28 23:43:21,HIST285,0101,Deokhyo Choi,40,37,0,2026-07-28 23:59:45
2026-07-28 23:43:21,HIST289T,0101,Hayim Lapin,23,0,0,2026-07-28 23:59:45
2026-07-28 23:43:21,HIST289T,0102,Hayim Lapin,23,6,0,2026-07-28 23:59:45
2026-07-28 23:43:21,HIST289T,0103,Hayim Lapin,23,7,0,2026-07-28 23:59:45
2026-07-28 23:43:21,HIST289V,0101,Howard Smead,30,0,2,2026-07-28 23:59:46
2026-07-28 23:43:21,HIST310,0101,Paul Landau,27,21,0,2026-07-28 23:59:46
2026-07-28 23:43:21,HIST319F,0101,Erin Mosely,27,9,0,2026-07-28 23:59:46
2026-07-28 23:43:21,HIST319P,0101,Mikhail Dolbilov,27,1,0,2026-07-28 23:59:47
2026-07-28 23:43:21,HIST328F,0101,Regev Ben-David,30,29,0,2026-07-28 23:59:47
2026-07-28 23:43:21,HIST328O,0101,Alejandro Caneque,27,8,0,2026-07-28 23:59:47
2026-07-28 23:43:21,HIST329A,0101,Julie Taddeo,27,0,0,2026-07-28 23:59:48
2026-07-28 23:43:21,HIST329O,0101,Peter Wien,27,10,0,2026-07-28 23:59:48
2026-07-28 23:43:21,HIST331,0101,Janna Bianchini,27,0,2,2026-07-28 23:59:48
2026-07-28 23:43:21,HIST338F,0101,David Freund,27,1,0,2026-07-28 23:59:48
2026-07-28 23:43:21,HIST338L,0101,Jayson Porter,27,9,0,2026-07-28 23:59:49
2026-07-28 23:43:21,HIST338Y,0101,Gerson Rosales,27,0,2,2026-07-28 23:59:49
2026-07-28 23:43:21,HIST339T,0101,Peter Wien,27,13,0,2026-07-28 23:59:49
2026-07-28 23:43:21,HIST343,0101,Piotr H Kosicki,36,0,7,2026-07-28 23:59:50
2026-07-28 23:43:21,HIST353,0101,Holly Brewer,27,9,0,2026-07-28 23:59:50
2026-07-28 23:43:21,HIST355,0101,Robert Chiles,31,0,5,2026-07-28 23:59:50
2026-07-28 23:43:21,HIST357,0101,Howard Smead,27,0,2,2026-07-28 23:59:50
2026-07-28 23:43:21,HIST363,0101,Thomas Zeller,27,0,1,2026-07-28 23:59:51
2026-07-28 23:43:21,HIST373,0101,Bernard Cooperman,27,1,0,2026-07-28 23:59:51
2026-07-28 23:43:21,HIST382,0101,Ting Zhang,27,0,5,2026-07-28 23:59:51
2026-07-28 23:43:21,HIST395,0101,Clare Lyons,13,1,0,2026-07-28 23:59:52
